编号;名称;种类;技能名称;攻击力;生命值;技能;势力;画师;CV;技能发动;语音阵亡;语音攻击1;语音攻击2;语音杂谈1;语音杂谈2;基本信息;背景描述;故事1;故事2;故事3;故事4;故事5;调试中
10001;天照;;;;;;高天原;松花;上坂 すみれ;主动：好好看着！妾身真正的力量！_被动：出来面对妾身！;给妾身记住！;化为灰烬吧！;给妾身跪下！;想回家……;一切为了八百万众神之世;角色名字：天照_所属势力：高天原_称号：金乌的末裔／日出处神子_兴趣：激励他人，随意喷人（在网上）_喜欢的事物：宴会，受人尊敬的场合_讨厌的事物：现充的宴会，运动，月读;高天原的领导者_个性温暖热情，一旦受挫就会因为热冷却效应变得情绪超低落，个性也变得消极起来。作为单亲家庭的长姐，为两个兄弟（？）的成长操碎了心。_但两个兄弟的个性却还是在反抗期变得很乖僻。被天手力男，思兼神等高天原的忠实成员叫做“公主”（姬）。同时和父亲伊邪那岐的关系很尴尬，基本没有任何对话。_对异母姐妹火之伽具土的相性很好，但有些惧怕情绪不稳定的伽具土。害怕太清殿的后羿，因为在遇见后羿时就会被攻击，久而久之开始绕着后羿走。_对奥林匹斯的阿波罗有偏见，认为现充的阿波罗应该去爆炸变成宇宙尘。了解世界上有着许多太阳神，通过互联网办过数次太阳神聚会，但大家全是自我中心者，所以每次都以吵架收场。_曾经多次变得消极并将自己关在房间里，久而久之，蹲在房间里变成了一种兴趣和习惯（不就是家里蹲吗！）。思想非常灵活，能轻易接受现世发生的各种变化，但非常讨厌自身被人评判。_为了方便从现世获得兴趣品，授权思兼神办了网络服务供应商。社交网络账号和网络游戏账号等级非常高。;［单亲家庭］_父母离异后独自带着两个兄弟（？）生活的坚强长女，希望两个兄弟能成长为健康向上独当一面的成熟男性，但事与愿违，兄弟们在其高压教育下全部变成了问题儿童。长期积累的压力爆发，天照度过了很长一段时间家里蹲的生活。;［家里蹲］_虽然在思兼神的劝解下，其最终放弃了家里蹲，重新站出来领导高天原，但她本人在受到挫折时很容易就会产生重新躲回家里的想法。重复多次之后，对躲在家里这件事本身也产生了乐趣，偶尔会把工作甩给天之狭雾神与国之狭雾神，自己躲回家里。;［网络废人］_不光是神界，与现世也以网络连接着，在不明身份的网络上肆意发表着自己的言论。偶尔也从现世入手一些个人兴趣的物品。天照认为，只要有了网络就不需要出门了，这一点让思兼神非常困扰。;［八百万众神之世］_高天原下属管理着众多的神灵，其中一大部分并没有自己获取信仰的途径或手段，对这一类神灵天照直接将自己的信仰心分给他们以维持其存在，并且用这种方法建立起了范围广阔的神之乐土。;［黄昏之祸］_从西方来的霜巨人突袭了高天原，弱小的神灵被轻易击败，大量的信仰心被夺走。为了防止敌人继续掠夺弱小的神灵，天照不得不收回自己分散出去的信仰心，选择与少数强而有力的神灵固守高天原等待反攻。这个举动在最底层的神灵中造成了恶劣的反响，甚至有神灵认为自己已经被抛弃，叛变到了劫掠的行列中。;0
10002;奥丁;;;;;;阿斯嘉德;RitoruG;阿澄 佳奈;主动：解放吧！冈格尼尔！！_被动：躲起来是没用的！;如果有“智慧”的话……;上吧！;溃散吧！;我可不是笨蛋哦;有破坏才有创造;角色名字：奥丁_所属势力：阿斯嘉德_称号：神王／魔法之王／狂暴者_兴趣：户外运动_喜欢的事物：酒，女人_讨厌的事物：霜巨人，只动口的人;阿斯嘉德的领导者_独眼时比较聪明冷静，双眼健全时更加勇猛无畏，但不会看气氛。_和奥林匹斯的宙斯兴趣类似所以经常一起喝酒，实际上关系并不好。_和老婆弗丽嘉处在倦怠期，被女儿博德嫌弃有加龄臭，对欺诈之神洛基有种莫名的亲近感，但不认为自己是被骗了。_在不同的时代成功阻止过数次诸神黄昏的发动，自认为是熟练的黄昏玩家。_因为信仰缺失，失去了通过献祭一只眼获得的“智慧”，不过眼睛被送还了对于没有“智慧”还能否阻止黄昏很是担心。_偶尔会戴着眼罩伪装自己还是独眼。_会在网上购买一些买了也不会用的武器或者是图案奇怪的Ｔ恤，但是网购的物品经常丢失，其实是被弗丽嘉擅自退货了。;［富有魄力的阿斯嘉德领袖］_奥丁的信条是“比起因不做而后悔，不如先做了再继续做下去”，往往会因为勇猛无谋的性格在意外的地方吃亏。原本献上一眼获得的“智慧”，疑似因为信仰的缺失而失去了，而与智慧一起获得的强大魔法之力也同时消失。相对的，被当做祭品献上的眼睛却回来了。为了重获管理世界的智慧，作为“狂战士”的奥丁正积极的寻找各种线索。;［父亲］奥丁与其配偶弗丽嘉是一部分阿斯嘉德神灵的生父母，其子女中光明之神博德在阿斯嘉德内有着极高的人气。与性别无关，其子女都称呼其为”老爸”，调查员认为这可能是因为其好酒与喜欢性骚扰的性格造成的。;［可能的目的］在阿斯嘉德内部流传着不稳的传言——”黄昏将至”。无论是第几次黄昏，奥丁都从未像现在这样毫无防备。即使像以前一样重新献祭自己的眼睛，也什么都不会发生，而眼睛还在，可见信仰的缺失已经波及到了奥丁自身。如果无法在黄昏中让世界重生，神界与现世都会在黄昏的影响下步入毁灭。为了防止世界的毁灭，奥丁迫切的需要强大的力量阻止诸神黄昏。即使这力量是通过抢夺他人的信仰心得来的，即使有神灵因信仰被夺走而死，即使有神界因缺失信仰毁灭，在万物破灭的黄昏面前，都只是微不足道的牺牲而已。;;;0
10003;伊米尔;;;;;;尼夫尔海姆;松花;沢城 みゆき;主动：你们这些家伙！给俺咬紧牙关了！_被动：就这点能耐吗！;俺不能倒下...;退下！;顶得住就试试看;真是不错的肌肉呐;对手也有一身好肌肉啊;角色名字：伊米尔_所属势力：尼夫尔海姆_称号：冰霜巨魁／始祖巨人_兴趣：锻炼，暴饮暴食_喜欢的事物：肉_讨厌的事物：软弱的家伙，火焰;尼夫尔海姆的霜巨人王。_个性粗鲁，大大咧咧的作风在霜巨人族群中备受敬仰。_脑子不好，旗下有着诸如约顿海姆的领导者乌特迦洛基等顾问，凡事都会参考顾问的意见，对阿斯嘉德的领导者奥丁有着强烈的憎恨，认为霜巨人遭受的一切不平等待遇都来自阿斯嘉德的压迫和剥削。_多次尝试发动毁灭世界的诸神黄昏，全部以失败告终。_以解放所有巨人为目标，四处劫掠，扩张领土。与同为霜巨人的乌特迦洛基，赫朗格尼尔关系很好。虽然认可火巨人头领史尔特的力量，但是互相讨厌对方的属性。_实际上对于为什么魔物们会加入自己抱有疑问，但既然能当做战力也就不计较什么了。_从特殊的途径搞到了蛋白粉，对这种肌肉的必需品非常着迷，对高科技和先进文明的产物抱有敌意（除了蛋白粉，类固醇和健身器）。;［黄昏发动者］_伊米尔对诸神黄昏有着奇特的理解，认为诸神黄昏发动后，会让旧世界毁灭，然后霜巨人将与阿斯嘉德众神获得同等的权利。为此频繁的发动诸神黄昏。但全都以失败告终，总而言之全都是因为脑子不好。;［荒蛮的革命］_在发动黄昏多次并失败之后，伊米尔开始思考无法打败阿斯嘉德的原因，然后得到了“人手不够多”这样的结论。于是开始大量招募有志对抗阿斯嘉德的勇士，招来的全都是与阿斯嘉德有嫌隙的家伙，不管能否彻底打败阿斯嘉德，只要能给他们找麻烦就行了的家伙也占很大一部分。不过对伊米尔来说，招到人手了就算不错的成果。;［远征］_由于现世的现代化进程影响，蛮荒信仰开始急剧紧缩。这样下去无法发动另一次诸神黄昏，于是伊米尔听从顾问乌特迦洛基的建议，向传说中信仰充沛的东国发起了远征。没有方向感的霜巨人在行军中偏离了既定的目标，来到了高天原控制的神界，对没有任何防备的高天原发起突袭。;［毁灭的先导］_无论伊米尔的出发点是什么，劫掠信仰的行为实质上加速了诸神黄昏的到来，自认为黄昏是可以由自己掌控的力量，实际上现世开始否定神灵，神灵开始消亡就是黄昏开始的信号，最大的诸神黄昏早已拉开序幕。伊米尔的行军以及之后展开的混战只是不经意间促进了黄昏的活性化而已。;［迷失的信仰］_蛮荒信仰的流失随着现世文明进程的发展，已经逐渐从现世消失，加上在发动黄昏的行军中消耗了大量的信仰，受蛮荒信仰直接影响的伊米尔难以维持自身强壮的肉体，退化成了幼儿的体型。智能和性格没有发生变化，所以很快接受了自身的改变。在乌特迦洛基的帮助下最终能短时间恢复成原先强壮的体格。伊米尔本人对于变成娇小体格非常满意，不过对失去了肌肉的事情还是很在意。;0
10004;道德天尊;;;;;;太清殿;RitoruG;堀江 由衣;主动：这便是超越伪神的技术！_被动：启动侦查装置！;离“道”还很远啊……;伪物！;消失吧！;神只是人内心产生的伪物;人的道路是自己决定的;角色名字：道德天尊_所属势力：太清殿_称号：离恨上仙／最初的求道者_兴趣：分解，组合_喜欢的事物：研究，理论化_讨厌的事物：情绪化，无逻辑者;太清殿的领导者_遵循绝对的“正义”，为了正义的目标可以不择手段_理念是道法自然，不可以消灭人的天性，即使是争斗和罪恶等等，也是应当保护的天性。该消灭的是利用这些天性抬高自身的神与圣人。_与玉清元始天尊物竞天择（只有强者能够生存，对追寻道没有自觉的人只有死路一条）的理念不相容，希望在战斗中证明自己消灭神灵的做法才是真正的道_对上清灵宝天尊天人合一（人前进的任何方向都是道，就算人信仰神也是道的一种）的理念非常反感，认为那根本就是不作为的表现_接受来自元始天尊处的支援，接纳了太乙真人等进入太清殿_因为行事方式类似，所以认为太乙真人是能够理解自己的人，与太乙真人关系很好_但太乙真人似乎不这么认为。_对弟子太公望，杨戬等非常溺爱，所以弟子基本都是问题儿童_在后羿展示击坠太阳的实力后，希望后羿能加入卫道者的行列，制造了“长生不老之药“，希望能将后羿改造成机械（长生不老）的身体，但被后羿的妻子嫦娥发现并吃掉了。_与同为八卦（各种意义的八卦）爱好者的太阴星君关系不错。_并不上网，虽然了解网络的运作原理，但上了网之后却感觉网络的一切都很幼稚，所以兴趣不大。;［阳］_拥有很强的正义感，但这股正义感从不指向一般人，只对诱导一般人的神和圣人异常苛刻。为了贯彻正义不择手段，认为善良与正义无关，过度的善良是滋生邪恶的温床。;［阴］_道德天尊会将一些本来与自身毫无瓜葛的神灵分灵吸纳进自己的阵营中。例如阿摩婆罗提的猿王哈奴曼。在进行本土化改造后，为被改造者赋予新的身份，新的记忆，新的家人。但哈奴曼改造而成的孙悟空掺杂了过多之前的记忆，本质上是个失败品，所以被丢掉了。同意太乙真人对同样来自阿摩婆罗提的毗沙门天，哪吒俱伐罗等神灵进行改造，即使太乙真人彻底摧毁了他们本来的思想，但对道德天尊来说，卫道者本来就应该如此。;［笨蛋师傅］_道德天尊对继承了自己衣钵的庄周不认同自己的做法这件事倍感欣慰。在杨戬单方面与后羿较劲，觉得自己才是真正的卫道者时，支持杨戬，同时还借给太公望钱，总之溺爱弟子已经到了没救的地步。;［道德重工］_道德天尊自己的工坊，也是太清殿的制造厂。主要以生产工程机械和重型装备为主，食品和药品也能生产。和元始天尊的元始工业，灵宝天尊的灵宝轻工主营范围基本相同，只是侧重点不同而已。;［未来之道］_道是人前进的方向，所以道德天尊可以轻易使用人所想象出但无法实现的科技，道同时是人应至之地，实际上道德天尊可以使用的科技力量远高于人类所知，但受限于人的理解能力，只能展示出暂时高于人类目前科技水准的状态。即，多数人都不识字时，展示出丹药等技术。在多数人都了解机器是什么的时候，这个特质就会转变为展示出更加强大的机械。;0
10005;毗湿奴;;;;;;阿摩婆罗提;RitoruG;田中 敦子;主动：我不可辜负这份信任_被动：为万物献上祝福;我已预见了这次阻碍;退散吧！;破！;我因信任而强大;啊啦啦～要接受救赎吗？;角色名字：毗湿奴_所属势力：阿摩婆罗提_称号：维持者／救赎者_兴趣：苦行，收集香料_喜欢的事物：坚强的人，生物，香料_讨厌的事物：罪恶;阿摩婆罗提的领导者_看上去成熟干练，但内在非常天真烂漫，常会做出些不知世事的发言而不自知。_想为世间万物带去救赎的理想，被评价为过于天真，但还是在实现这个理想上付出了巨大的努力。_不会控制与人的距离感，过度亲近的距离在同性异性之间都常产生误会。_在自己认定为正确的事情上异常执着，不限种类的喜欢任何生物，但是对无机物没什么好感。_与湿婆交流很少，但是无条件的互相信任，感召了娜迦与迦楼罗放下仇恨携手合作，但私下里两者的关系还是很差。_被四大天王（多闻天，增长天，持国天，广目天）敬仰和喜爱，个人却没什么自觉。常被人误认为喜欢咖喱，实际上并没有特别喜欢，只是对香料很有兴趣，非常热心推荐身边的人使用自己收集的香料。_虽然大家都挺难接受，但为了不让她伤心都温柔的接下了。_长期转化成各种造型行走于世间，一开始是为了体察世态，逐渐转变成了变装的兴趣。对现世流行非常感兴趣。喜欢赶潮流，因此去弄了社交网络账号，但没在管理。;［森罗万象的救赎］_以从必至的灭亡中拯救万事万物为理念，毗湿奴自诞生之初就一直守护着阿摩婆罗提的和平，而某一日从遥远的西方传来了世界将在业火中化为灰烬的传言。认为不能放任不管的毗湿奴。让阿摩婆罗提的众神将分灵派往世界各地，希望能从那个叫做“诸神黄昏”的传言中拯救世界。;［迷失之神］_为了拯救土地上的众人与众神而来到异地的阿摩婆罗提神灵并未受到预想中的热烈欢迎，大多数都被认为是掠夺信仰的劫掠者受到了驱逐，甚至发生了战斗。其中战斗最激烈之处发生在与阿摩婆罗提接壤的“东国”，希望为东国带去救赎的众神遭到了超乎预想的强烈抵抗，一部分神灵的分灵在战斗中失踪。_为了救赎他人却牺牲了自己的支持者，让毗湿奴开始质疑自己无差别救赎理念的正当性。;［恩与罚］_在毗湿奴陷入困境的时候，毗湿奴的旧友，破坏神湿婆伸出了援手。“放心走你自己的道路，不能理解的家伙我会为你摧毁掉”。湿婆的支持让毗湿奴明确了救赎的理念。为一切理解者带去救赎，为反抗者带去毁灭，而后再带去救赎。;［救赎］_黄昏的传言依然在神界中流传着，信仰的缺失造成的神灵消亡已经确实可见，救赎的道路还远不是尽头。但毗湿奴已经明确，为了平等的拯救一切神与世人_牺牲是必要的，不过能够牺牲的只有自己，别无他物。;;0
10006;拉;;;;;;赫里奥波里斯;松花;福原 綾香;主动：向吾之威光臣服！_被动：传颂吾之威名！;黄昏已近……;崇拜吾吧！;赐汝褒奖吧！;为弱者复仇是强者的本分;吾正是人所渴求的伟大之神;角色名字：拉（Ra）_所属势力：赫里奥波里斯_称号：永生烈日／不灭者_兴趣：摆出威严_喜欢的事物：甲虫，有收集性的物品，排列整齐，规则的古艺术品_讨厌的事物：杂乱的摆放，脆弱的物品，不平衡的现代艺术品;赫里奥波里斯的统治者_为了塑造出威严，努力维持清爽健康的形象，非常在意他人对自己的评价。_欣赏整洁有序的环境，也欣赏赏罚明确的法度，讨厌差别对待的规则和乱七八糟的环境，对弄乱整洁环境的人绝不手下留情。_与邪神塞特保持着互相残杀的关系，某种程度上的恶友。_将孙辈的荷鲁斯作为自己的继承人努力培养，认为没必要对现世进行干涉，失去信仰而死如果是神灵既定的命运就应该接受。_对想逃避死亡的神灵非常反感，与大国主，弗雷，孙悟空等受到压迫的神灵保持密切的联系。_与天照都属于太阳神线下会的成员，但大家都是个人中心主义者，每次聚会都以吵架收场。;［不灭者］_对拉而言，生死只是不断在循环的一个过程，每次经过这个循环，自身都将变得更加强大。就算信仰缺失神灵消亡，也只不过又是一个黄昏而已，之后还会迎来更加漫长的黑夜。在黑夜之后，太阳依然会升起——无论被人遗忘多久，神最终会重新君临人类历史的顶点，成为被人崇拜之物。而不断推迟黄昏的到来，甚至想阻断暗夜的神灵，才是应当打败的敌人。;［复仇之眼］_拉了解到其他神界正在发生名叫诸神黄昏的灾难，认为这便是自己等待的“暗夜”开场的信号，但长久的等待却并没有等来自己所期待的暗夜，反而得到了神界之间的战斗因为外部势力的加入趋于缓和的消息。愤怒的拉决定彻底打败那些试图阻止黄昏的势力，于是拉（ＲＡ）将复仇的力量，借给因为各种原因被迫加入其他势力的神灵，让他们等待合适的时机露出獠牙。;［航向冥界之舟］_拉同样意识到，之前一度阻止过神界争斗的梦界旅者虽然处于混战的阶段，但终有一日会统合在一个神灵的名下，于是赫里奥波里斯也向旅者伸出了友谊之手。如果在旅者的帮助下成为最终的胜利者，黄昏将杀死所有神灵，神的世界将如约进入暗夜，如果不能……那么至少也要让这场战斗更加混乱，直到所有神灵灭亡。;;;0
20001;须佐之男;;;;;;高天原;松花;横田 和輝;充满力量的感觉！;可恶，什么都看不见……;坠落吧！;让你见识冥府的力量！;这种对手真是提不起劲呐。;考虑什么呢，让我攻击就对了！;角色名字：须佐之男_所属势力：高天原_称号：根国之主_兴趣：饮酒_喜欢的事物：家人，宝物_讨厌的事物：家人受到伤害;三贵子的老幺_勇猛坚毅，行事风格粗暴激进。_曾与天照有过激烈的冲突，现已和解。_认为大国主欺骗了女儿须势理姬，仇视大国主，而对武斗派的建御雷，天手力男等有好感。_虽然性格粗野，但对柔弱的对象没有办法拿出全部实力，顺便一提妻子奇稻田姬曾经也很柔弱……曾经。_对父亲伊邪那岐的印象恶劣。在其他神界的对手出现后因为可以打架的对象增多而感到兴奋。;［过去的勇者］_须佐之男曾经因与天照发生冲突，而被从高天原放逐。在斩杀了魔物八岐大蛇后获得原谅返回了高天原，并受命管理冥界根之国的大部分区域。;［死之口］_在高天原遭到袭击后，须佐之男得知自己的女儿须势理姬在袭击中失踪，无法怪罪长姐天照的须佐之男认为这一切都是须势理姬的夫婿，国津神的领袖大国主保护不力造成的。之后须佐之男请愿将所有的国津神送入根之国，但遭到拒绝，最终以国津神前往前线进行作战为条件达成和解。;［开启的黄泉户塞］_无法接受国津神前往前线作战这个结果的须佐之男，擅自打开了阻隔现世和根之国的大门，为了直接从自己管理的领域汲取力量，也为了将更多的敌人送入根之国，也希望在这些被摧毁的可怜神灵中，得到关于须势理姬的情报。;;;0
20002;月读;;;;;;高天原;松花;上坂 すみれ;千万别被发现……;啊啊～输了～;好麻烦……;诶？我来攻击？;我的姐姐很烦人呢;我的弟弟一点也不可爱。;角色名字：月读_所属势力：高天原_称号：夜之国主_兴趣：演算，愚弄他人_喜欢的事物：让天照生气，捉弄须佐之男_讨厌的事物：被人注目，天照的支持者;天照之弟（妹？）_因温和恬静的个性，与所有人（除天照外）关系都很好。_不屑于姐姐正面胜负的风格，经常擅自搞些小动作。;［阳炎不至之处］_于姐姐天照之间关系恶劣，对于在天照的旗下行动非常不满，其反抗精神行动也非常直接，会用月亮遮挡在太阳前，遮蔽天照的视线，让其无法看到友军的情况。;［月面之争］_月之崇拜神灵们重要的信仰心来源，连有的青蛙都会在明月之夜歌唱，甚至可以说拥有月面控制权的势力就将获得胜利。月读作为诸多月神的一员，却一直采取静态防御和消极撤退的姿态，让人难以理解她想要做什么。;［无法触及的水中之月］_虽然自己负责的战区一直处于败退状态，但月读还没有遭遇过决定性打击。不知道用了什么手段，目前正在月面冲突的嫦娥（太清殿），阿尔忒尼斯（奥林匹斯），哈提（尼夫尔海姆）等处于互相制衡的状态。_高天原私下里流传着月读是谋略之神而并不是月神的奇怪说法（同属高天原的思兼神对此强烈反对）。;［狂月］_其有着与人对话数句就能把人惹火的独特力量，不知道是故意还是偶然，总能准确的用话语戳中对方痛点，也可理解为态度极其恶劣。;;0
20003;建御雷;;;;;;高天原;松花;夏井 彩華;先阵在此！;在这倒下的话……;呀！！;上啊！！;可恶，须佐之男那家伙……;敌人也有有骨气的家伙呢。;角色名字：建御雷_所属势力：高天原_称号：刚勇之雷_兴趣：打架_喜欢的事物：打架很强的家伙，经津主_讨厌的事物：头脑派;高天原中流砥柱的重臣_勇气与意志兼备，对于挑战强者有极高的热情，但严守上下级关系，不会盲目树立对手。在与国津神的战斗中击败了国津神的大将建御名方，被建御名方仇视。_无法完全信任国津神的领袖大国主，并且作为武斗派的代表，对于计策和谋略非常不擅长。虽然因须佐之男与国津神的亲缘关系不信任他，但认同他的强悍，对他有强烈的竞争意识_偶尔被认为是雷神，实际上还兼职很多工作，同时和其他地区的雷神关系很微妙，并且与火之伽具土之间气氛尴尬。;［高天原之刃］_建御雷作为伊邪那岐执政时期的武斗派重臣，在天照从父亲伊邪那岐手中接管高天原后，积极辅佐着天照，在攻打苇原中国时打败了国津神最强者建御名方，取得了决定性的胜利。;［斗将］_大部分神灵会因信仰心高低发生力量的波动，但建御雷有些特别。为了守护高天原获得的力量，由天照的判断决定其当前的强度，所以对于是否受当下时代的信者喜爱，建御雷并无太多想法，只是将为高天原作战作为自己唯一的使命。;;;;0
20004;建御名方;;;;;;高天原;松花;森田 さつき;来，快乐的打一场吧！;我又输了！？;啊哈哈哈！;倒下！倒下！倒下！;只有那家伙不可原谅。;那个时候有这力量的话……;角色名字：建御名方_所属势力：高天原_称号：诹访的征服者_兴趣：格斗技_喜欢的事物：肉，青蛙_讨厌的事物：天津神，建御雷;高天原的食客_国津神中的最强者，性格激进暴躁，容易记仇。_在天照要求国津神让出苇原中国时，挺身而出与天津神对抗，被建御雷打败，对建御雷有强烈的恨意。_前往诹访后结识了诹访的土著神诹访明神（赤口大神），在战斗后成为了同伴。_以打倒建御雷为目标锻炼身体。_本土意识极其强烈，讨厌外国人，对于大国主让出苇原中国的做法耿耿于怀，更无法接受大国主与天津神改善关系的做法。_非常易怒，鸡毛蒜皮的小事也可能生气，另外讨厌网络。;［苇原乱战］_在天照下令大国主让出领土，大国主与事代主妥协之后，孤身一人站出来反抗天津神的大军。与当时作为先锋建御雷大战一场之后被打败，虽然与实力远高于自己的建御雷交战已经是值得夸耀的战绩，但建御名方无法接受这点，认为自己背叛了国津神们的期待，于是逃往诹访，寻求再兴的机会。;［土著神］_前往诹访的建御名方遭遇了当地的土著神阻挡。在进行了拳与拳的交流后，与土著神赤口大神成为了好朋友。赤口大神承诺将自己的身份与力量借给建御名方用来打倒建御雷。而当复国成功之后，赤口大神也将从建御名方的胜利中获得更大的利益。;［死之口］_在遭到外部神族入侵时，单靠诹访的力量无法进行有效的抵抗，于是建御名方响应了大国主的号召，前往了大国主所在的高天原进行避难，但到达高天原之后得到的却是须佐之男要求所有国津神立刻去前线抵抗入侵的消息。_认为再次遭到天津神背叛的建御名方决定不再相信大国主，而是要靠自己以及自己借来的力量夺回土地。但首先，她必须先从对抗外敌的战争中生存下来……;［蝶的机会］_入侵的战斗在名叫梦界旅者的人类介入后突然迅速的结束了。各个阵营的主神们意识到了争夺梦界旅者的信仰远比互相之间掠夺来的有效。在响应梦界旅者召唤的众多神灵中，建御名方是为数不多意识到旅者的力量远不止如此的神灵之一。为了让这股力量成为复国的助力，不得不暂时将自己与赤口的力量借给这些旅者们……;;0
