关卡编号;所属活动;是否为首关;下方解锁关卡;对应AI;首次掉落;随机掉落;所需门票;是否处于调试中;触发剧情;胜利剧情;失败剧情;地图;关卡图标;关卡展示图;关卡名字;关卡难易度
100101;1001;1;100102;1;952001;900001,900002;900001;0;100101;200101;300101;10002;200001;220001;序幕-未完的竞赛 ;2
100102;1001;0;100103;2;952002;900001,900002;900001;0;100102;200201;300201;10003;200001;220001;一幕-未至的黄昏;2
100103;1001;0;100104;3;960011;900002,900003;900002;0;100103;200301;;10001;200001;220001;二幕-未明的阳炎;3
100104;1001;0;100105;4;950004;900002,900003;900002;0;100104;200401;;10004;200001;220001;三幕-未解的记录;3
100105;1001;0;;5;960012;900002,900003;900003;0;100105;200501;;20001;200001;220001;终幕-超动态统一;4
400101;4001;1;400102;6;962001;900002,900003;900001;0;100101;200101;300101;10002;200001;220001;序幕-未完的竞赛 ;5
400102;4001;0;400103;7;960002;900002,900003;900001;0;100102;200201;300201;10003;200001;220001;一幕-未至的黄昏;5
400103;4001;0;400104;8;952003;900002,900003;900002;0;100103;200301;;10001;200001;220001;二幕-未明的阳炎;6
400104;4001;0;400105;9;962003;900002,900003;900002;0;100104;200401;;10004;200001;220001;三幕-未解的记录;6
400105;4001;0;;10;952005;900002,900003;900003;0;100105;200501;;20001;200001;220001;终幕-超动态统一;7
4;0;0;0;1;;;;0;999910;999911;999912;10001;200001;220001;教学4;1
5;0;0;0;1;;;;0;999913;999914;999915;10001;200001;220001;教学5;1
6;0;0;0;1;;;;0;999916;999917;999918;10001;200001;220001;教学6;1
7;0;0;0;1;;;;0;999919;999920;999921;10001;200001;220001;教学7;1
8;0;0;0;1;;;;0;999922;999923;999924;10001;200001;220001;教学8;1
9;0;0;0;1;;;;0;999925;999926;999927;10001;200001;220001;教学9;1
10;0;0;0;1;;;;0;999928;999929;999930;10001;200001;220001;教学10;1
100201;1002;1;100202;21;950021;900004,900005;900004;0;500101;500102;500103;20002;200001;220001;一之卷，三十八万公里外;2
100202;1002;0;100203;22;950022;900004,900005;900004;0;500201;500202;500203;20002;200001;220001;二之卷，守月卫士;2
100203;1002;0;100204;23;950030;900004,900005;900005;0;500301;500302;500303;20002;200001;220001;三之卷，鼎足的裂痕;3
100204;1002;0;100205;24;950031;900005,900006;900005;0;500401;500402;500403;20002;200001;220001;四之卷，月面战争;3
100205;1002;0;;25;950039;900005,900006;900006;0;500501;500502;500503;20003;200001;220001;终卷，与日争辉的月光;4
