StringKey,CN,JP,TEXT
choosemain,选择主神,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(256):				m_ProcessTitle.text = ""选择主神"";"
choosesub1,选择附属神1,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(281):				m_ProcessTitle.text = ""选择附属神1"";"
choosesub2,选择附属神2,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(298):				m_ProcessTitle.text = ""选择附属神2"";"
choosecard,选择卡牌,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(304):				m_ProcessTitle.text = ""选择卡牌"";"
choosecard,选择卡牌,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(353):				m_ProcessTitle.text = ""选择卡牌"";"
choosecard,选择卡牌,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(385):				m_ProcessTitle.text = ""选择卡牌"";"
choosecard,选择卡牌,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(412):				m_ProcessTitle.text = ""选择卡牌"";"
choosecard,选择卡牌,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(439):				m_ProcessTitle.text = ""选择卡牌"";"
leftfaiiedtime,剩余失败次数 : ,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(458):				leftFailTimes.text = ""剩余失败次数 : "" + _baseInfo.xuanzhaoUserInfo.leftChallengeNum.ToString();"
mainskillerror,主神ID为 {0}技能ID为{1}数据错误,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(490):				return  ""主神ID为 ""+ _mainID + ""技能ID为"" +_skillID +  ""数据错误"" ;"
mainskillusetime,主动:{0}\n使用次数：{1}       费用：,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(492):			string str =  ""主动:"" + skill_desc + ""\n"" + ""使用次数："" + StResource.GetInstance ().GetDataSkill (_skillID).GetData (DataSkill.DataHeader.MAX_IN_PK) + ""        "" + ""费用："""
additionskill,被动:,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(493):				+ StResource.GetInstance ().GetDataSkill (_skillID).GetData (DataSkill.DataHeader.COST) + ""\n"" + ""被动:"" + skill_desc_addition;"
barragecard,弹幕卡,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(1489):			danmuTxt.text = ""弹幕卡"" + getCardTypeNum(DataCard.DataType.BULLET).ToString();"
skillcard,神迹卡,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaController.cs(1490):			shenjiTxt.text  = ""神迹卡"" + getCardTypeNum(DataCard.DataType.EFFECT).ToString();"
leftbuytime,剩余购买次数：{0}次,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaMarket.cs(57):				tx_limit.text = ""剩余购买次数："" +( shopInfo.userLeftBuyTimes).ToString()+""次"";"
notenoughtgold,没有足够的梦晶进行购买,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaMarket.cs(199):					tx_infor.text=""没有足够的梦晶进行购买"";"
notenoughtsliver,没有足够的灵力进行购买,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaMarket.cs(226):					tx_infor.text=""没有足够的灵力进行购买"";"
notenoughtticket,您的门票不足是否进行购买？,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaNotice.cs(71):				tx_notice.text =""您的门票不足是否进行购买？"";"
giveupandgetreward,是否弃权并结算奖励？,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaNotice.cs(74):				tx_notice.text=""是否弃权并结算奖励？"";"
consume ticket,是否消耗1张门票进入活动？,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaNotice.cs(77):				tx_notice.text=""是否消耗1张门票进入活动？"";"
continuelastgame,上一轮的游戏并没有完成，是否继续（本次操作将无需消耗门票）？,,"C:\SDSvn\BulletBible\Assets\Script\Arena\ArenaNotice.cs(80):				tx_notice.text=""上一轮的游戏并没有完成，是否继续（本次操作将无需消耗门票）？"";"
loginfail,登录失败:,,"C:\SDSvn\BulletBible\Assets\Script\Base\BSCallbackListerner.cs(90):			StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""登录失败:""+data);"
chargefail,充值失败:,,"C:\SDSvn\BulletBible\Assets\Script\Base\BSCallbackListerner.cs(171):			StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""充值失败:""+message);"
defaultcamp,高天原,,"C:\SDSvn\BulletBible\Assets\Script\Base\BSGameSdk.cs(57):		notifyZone(server_id,""高天原"", role_id, role_name);"
defaultcamp,高天原,,"C:\SDSvn\BulletBible\Assets\Script\Base\IOSSdk.cs(80):		notifyzone (server_id,""高天原"",_rid,_r);"
gold,梦晶,,"C:\SDSvn\BulletBible\Assets\Script\Base\IOSSdk.cs(85):		PaySDK(_id,_no,_price.ToString(),""梦晶"",_gold.ToString(),_info,_subject,StNetworkController.GetInstance().SDK_token);"
chargefail,充值失败,,"C:\SDSvn\BulletBible\Assets\Script\Base\IOSSdk.cs(139):		StGame.GetInstance().ShowNotice( StGame.NoticeType.ERROR,""充值失败"");"
back2login,是否登出游戏回到登录界面？,,"C:\SDSvn\BulletBible\Assets\Script\Base\Option.cs(179):				StGame.GetInstance().ShowNotice( StGame.NoticeType.LOGOUT,""是否登出游戏回到登录界面？"");"
back2login,是否登出游戏回到登录界面？,,"C:\SDSvn\BulletBible\Assets\Script\Base\Option.cs(188):			StGame.GetInstance().ShowNotice( StGame.NoticeType.LOGOUT,""是否登出游戏回到登录界面？"");"
nousecdk,无效cdk,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(457):					text_gift.text=""无效cdk"";"
cdktimenotcame,未到开始兑换时间,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(460):					text_gift.text=""未到开始兑换时间"";"
cdktimeout,兑换已结束,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(463):					text_gift.text=""兑换已结束"";"
cdkused,已经兑换的cdk,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(466):					text_gift.text=""已经兑换的cdk"";"
typecdkuse,已经兑换过该类型的cdk,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(469):					text_gift.text=""已经兑换过该类型的cdk"";"
limitcdktime,超过该类型的cdk兑换次数,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(472):					text_gift.text=""超过该类型的cdk兑换次数"";"
cdkusesucess,"兑换成功,请耐心等待礼物发送至礼物盒",,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(476):					StGame.GetInstance().ShowNotice(StGame.NoticeType.NOTICE,""兑换成功,请耐心等待礼物发送至礼物盒"");"
boxlimit,礼物盒上限{0}/{1},,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxController.cs(713):			text_count_boxs.text = string.Format(""礼物盒上限{0}/{1}"",tempBoxs.Count,limit_boxs);"
leftday,还剩{0}天,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxItemController.cs(80):					text_time.text =""还剩""+tmp_span.Days.ToString()+""天"";"
lefthour,还剩{0}小时,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxItemController.cs(84):					text_time.text =""还剩""+tmp_span.Hours.ToString()+""小时"";"
tiemout,已过期,,"C:\SDSvn\BulletBible\Assets\Script\Box\BoxItemController.cs(88):					text_time.text =""已过期"";"
print,画师 : ,,"C:\SDSvn\BulletBible\Assets\Script\CardCollection\ShowCollectionDetail.cs(278):			painterTXT.text = ""画师 : "" + StResource.GetInstance ().GetDataCard (m_cfgid.ToString ()).GetData (DataCard.DataHeader.AUTHOR);"
temponull,暂无,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(754):				mainGodName.text = StResource.GetInstance ().GetDataCard (System.Convert.ToString (_id)).GetData (DataCard.DataHeader.NAME) + ""(CV : "" + ""暂无"";"
skilltimecost,主动:{0}\n使用次数：{1}       费用：,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(873):			skill_desc.text = ""主动:"" + skill_1_desc + ""\n"" + ""使用次数："" + StResource.GetInstance ().GetDataSkill (skill_1.name).GetData (DataSkill.DataHeader.MAX_IN_PK) + ""        "" + ""费用："" + StResource.GetInstance ().GetDataSkill (skill_1.name).GetData (DataSkill.DataHeader.COST) + ""\n"" + ""被动:"" + skill_1_desc_addition;"
skilltimecost,主动:{0}\n使用次数：{1}       费用：,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(885):			skill_desc.text = ""主动:"" + skill_2_desc + ""\n"" + ""使用次数："" + StResource.GetInstance ().GetDataSkill (skill_2.name).GetData (DataSkill.DataHeader.MAX_IN_PK) + ""        "" + ""费用："" + StResource.GetInstance ().GetDataSkill (skill_2.name).GetData (DataSkill.DataHeader.COST) + ""\n"" + ""被动:"" + skill_2_desc_addition;"
skilltimecost,主动:{0}\n使用次数：{1}       费用：,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(898):			skill_desc.text = ""主动:"" + skill_3_desc + ""\n"" + ""使用次数："" + StResource.GetInstance ().GetDataSkill (skill_3.name).GetData (DataSkill.DataHeader.MAX_IN_PK) + ""        "" + ""费用："" + StResource.GetInstance ().GetDataSkill (skill_3.name).GetData (DataSkill.DataHeader.COST) + ""\n"" + ""被动:"" + skill_3_desc_addition;"
definegroup,自定义卡组,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1610):				_newGroup.name=""自定义卡组"";"
undefinegroup,未命名卡组,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1695):			group.name = inputFiledName.text == """"  ? ""未命名卡组"" :  inputFiledName.text;"
clicksublist2check,点击附属神列表查看详情,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1761):			SubGodDesc.text = ""点击附属神列表查看详情"";"
allcamp,所有阵营,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1764):			campName.text = ""所有阵营"";"
allcamp,所有阵营,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1939):				campName.text = ""所有阵营"";"
allcamp,所有阵营,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(1977):					campName.text = ""所有阵营"";"
clicksublist2check,点击附属神列表查看详情,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(2211):				SubGodDesc.text = ""点击附属神列表查看详情"";"
wait,待定,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(2274):				subCvName.text = ""待定"";"
print,画师 : ,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(2276):			subPainterName.text = ""画师 : "" + StResource.GetInstance ().GetDataCard (System.Convert.ToString (cid)).GetData (DataCard.DataHeader.AUTHOR);"
groupname2long,卡组名字太长了～,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(3085):				StGame.GetInstance ().ShowNotice (StGame.NoticeType.ERROR, ""卡组名字太长了～"");"
ilegalicon,卡组名含有违规字符～,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(3090):				StGame.GetInstance ().ShowNotice (StGame.NoticeType.ERROR, ""卡组名含有违规字符～"");"
barragecard,弹幕卡,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(3124):			danmuTxt.text = ""弹幕卡"" + getCardTypeNum(DataCard.DataType.BULLET).ToString();"
skillcard,神迹卡,,"C:\SDSvn\BulletBible\Assets\Script\CardEdit\CardEditManager.cs(3125):			shenjiTxt.text  = ""神迹卡"" + getCardTypeNum(DataCard.DataType.EFFECT).ToString();"
