技能ID;技能名称;技能描述;消耗;何时触发;触发辅助;对敌我方;目标类型;选择规则;选择范围;效果类型;效果值;附带技能;回合最大使用次数;单场最大使用次数;是否有有益的;是否处于调试中
10001;天之岩戸;发动效果后，己方全场覆盖不可被解除的迷雾，持续1回合，己方所有单位获得10点生命值，持续2回合。;6;0;0;1;8;0;0;25;1;12001,15001;1;1;1;0
10002;德罗普尼尔;获得两张弹幕卡［永恒之枪］（每回合至多使用1次）。;1;0;0;1;5;0;0;21;42002,42002;15002;1;999;1;0
10003;英灵指挥;己方所有单位永久＋2攻击力，获得12点护盾，己方全体【封足】（该封足不可被净化）持续2回合。;5;0;0;1;7;0;0;3;2;15003,12003,12203;1;1;1;0
10004;日耀;舍弃所有手牌，解除全场迷雾。;5;0;0;2;8;0;0;8;1;11004,15004;1;1;1;0
10005;冈格尼尔;敌方随机单位，失去8点生命值（无视护盾与【圣盾】，每回合至多使用1次）。;1;0;0;0;4;2;0;22;-8;15005;1;999;1;0
10006;暴风雪援军;召唤一体【坚冰巨人】（每回合至多使用1次）。;0;0;0;1;1;2;0;6;22031;15006;1;999;1;0
10007;八咫镜;己方所有单位＋3护盾（每回合至多使用3次）;2;0;0;1;7;0;0;5;3;15007;3;999;1;0
10008;战争咆哮;己方所有单位永久＋3攻击力，每回合开始时失去2点生命值。;1;0;0;1;7;0;0;3;3;12008,15008;1;1;1;0
10009;蛮荒的血脉;发动效果后，伊米尔失去2点生命值，己方随机单位永久＋2攻击力。（每回合至多可用3次，单局游戏至多可用9次）;2;0;0;1;6;0;0;1;-2;12009,15009;3;9;1;0
10010;天变地异;全场地迷雾反转（解除当前所有迷雾区域，并为其他区域覆盖迷雾）。;5;0;0;2;8;0;0;28;1;15010,15110;1;1;1;0
10011;八卦炉;己方所有单位装填时间成为0。;4;0;0;1;7;0;0;13;-99;15011;1;1;1;0
10012;变易;随机获得1张神迹卡［变易］（属性变化）。;1;0;0;1;5;0;0;37;32001,32002,32003,32001,32002,32003;15012;6;6;1;0
10013;神龟俱利摩;【变化】，每回合开始时获得【圣盾】并提高3点生命值上限和获得3点生命值。;5;0;0;1;6;0;0;80;22903;15413;1;1;0;0
10014;人狮那罗辛哈;【变化】，自身攻击后，永久＋1攻击力，掠取50％。;5;0;0;1;6;0;0;80;22904;15414;1;1;0;0
10015;白马迦尔吉;【变化】，永久＋1移动力。移动时，恢复1点行动点。（每回合至多发动4次）;6;0;0;1;6;0;0;80;22905;15415;1;1;0;0
10016;复仇之眼;敌方禁止攻击一个回合。;5;0;0;0;7;0;0;25;8;15016;1;1;0;0
