任务ID;昵称;描述;任务icon;任务行为;行为指数;任务奖励包;下一个任务;是否是入口任务;任务类型;活动任务开始时间;活动任务结束时间;是否处于调试中;主任务
1000;应援;为神代应援~!;205401;999;1;400020;;0;5;;;0;
1001;逆转;使用5张神迹卡;200101;1;5;400020;;0;1;;;0;
1002;逆转;使用10张神迹卡;200101;1;10;400040;;0;1;;;0;
1003;逆转;使用15张神迹卡;200101;1;15;400060;;0;1;;;0;
1004;逆转;使用20张神迹卡;200101;1;20;400080;;0;1;;;0;
1005;弹幕使;使用5张弹幕卡;200101;2;5;400020;;0;1;;;0;
1006;弹幕使;使用10张弹幕卡;200101;2;10;400040;;0;1;;;0;
1007;弹幕使;使用15张弹幕卡;200101;2;15;400060;;0;1;;;0;
1008;弹幕使;使用20张弹幕卡;200101;2;20;400080;;0;1;;;0;
1009;击杀从者;攻击击杀3个附属神;200301;3;3;400020;;0;1;;;0;
1010;击杀从者;攻击击杀6个附属神;200301;3;6;400050;;0;1;;;0;
1011;击杀从者;攻击击杀10个附属神;200301;3;10;400080;;0;1;;;0;
1012;胜利者;取得1场胜利;200401;5;1;400040;;0;1;;;0;
1013;胜利者;取得3场胜利;200401;5;3;400070;;0;1;;;0;
1014;胜利者;取得5场胜利;200401;5;5;400090;;0;1;;;0;
1015;决斗者;进行4场游戏;200401;4;4;400020;;0;1;;;0;
1016;决斗者;进行6场游戏;200401;4;6;400030;;0;1;;;0;
1017;决斗者;进行8场游戏;200401;4;8;400040;;0;1;;;0;
1018;决斗者;进行10场游戏;200401;4;10;400060;;0;1;;;0;
1019;请问你是老子的master吗?;抽卡1次;205401;54;1;400050;;0;1;;;0;
1020;友谊赛;与好友对决一次;207401;74;1;400050;;0;1;;;0;
1021;阿斯加德的支持者;使用奥丁获得1次胜利;210101;101;1;400030;;0;1;;;0;
1022;阿斯加德的支持者;使用奥丁获得2次胜利;210101;101;2;400050;;0;1;;;0;
1023;阿斯加德的支持者;使用奥丁获得3次胜利;210101;101;3;400070;;0;1;;;0;
1024;高天原的支持者;使用天照获得1次胜利;210201;102;1;400030;;0;1;;;0;
1025;高天原的支持者;使用天照获得2次胜利;210201;102;2;400050;;0;1;;;0;
1026;高天原的支持者;使用天照获得3次胜利;210201;102;3;400070;;0;1;;;0;
1027;太清殿的支持者;使用道德天尊获得1次胜利;210401;104;1;400030;;0;1;;;0;
1028;太清殿的支持者;使用道德天尊获得2次胜利;210401;104;2;400050;;0;1;;;0;
1029;太清殿的支持者;使用道德天尊获得3次胜利;210401;104;3;400070;;0;1;;;0;
1030;尼芙尔海姆的支持者;使用伊米尔获得1次胜利;210301;103;1;400030;;0;1;;;0;
1031;尼芙尔海姆的支持者;使用伊米尔获得2次胜利;210301;103;2;400050;;0;1;;;0;
1032;尼芙尔海姆的支持者;使用伊米尔获得3次胜利;210301;103;3;400070;;0;1;;;0;
1033;啪啪啪;攻击击杀总计单位_3;210301;105;3;400020;;0;1;;;0;
1034;啪啪啪;攻击击杀总计单位_6;210301;105;6;400040;;0;1;;;0;
1035;啪啪啪;攻击击杀总计单位_9;210301;105;9;400060;;0;1;;;0;
1036;啪啪啪;攻击击杀总计单位_12;210301;105;12;400080;;0;1;;;0;
1037;神威;使用主神技能1次;200101;106;1;400030;;0;1;;;0;
1038;神威;使用主神技能2次;200101;106;2;400050;;0;1;;;0;
1039;神威;使用主神技能3次;200101;106;3;400070;;0;1;;;0;
1040;雾霾退散;战斗中驱散16个迷雾区域;210701;107;16;400030;;0;1;;;0;
1041;雾霾退散;战斗中驱散32个迷雾区域;210701;107;32;400050;;0;1;;;0;
1042;雾霾退散;战斗中驱散48个迷雾区域;210701;107;48;400070;;0;1;;;0;
2101;卡组构成;编辑出战卡组;205501;80;1;400100;2102;1;3;;;1;2101
2102;第二套卡组构成;设置第二套卡组;205501;55;1;400100;;1;3;;;0;2102
2201;弹幕收集;拥有30张不同的弹幕卡;210801;108;30;400100;2202;1;3;;;0;2201
2202;回忆收集;拥有30张不同的神迹卡;210801;109;30;400100;2203;0;3;;;0;2201
2203;人才济济;拥有10位不同的附属神;210801;110;10;400100;2204;0;3;;;0;2201
2204;弹幕收藏家;拥有5张不同的品质为传说的弹幕卡;210801;111;5;400200;2205;0;3;;;0;2201
2205;人才济济2;拥有2位品质为稀有的附属神;210801;112;2;400200;2206;0;3;;;0;2201
2206;哈雷姆;拥有1位品质为传说的附属神;210801;113;1;400300;;0;3;;;0;2201
2301;第一步;进行一场对战;206501;4;1;400100;2302;1;3;;;0;2301
2302;十胜;获得十场争乱模式胜利;206501;65;10;400100;2303;0;3;;;0;2301
2303;身经百战;获得五十场争乱模式胜利;206501;65;50;400200;2304;0;3;;;0;2301
2304;百胜;获得一百场争乱模式胜利;206501;65;100;400300;2305;0;3;;;0;2301
2305;和平使者;获得五百场争乱模式胜利;206501;65;500;400500;;0;3;;;0;2301
2306;天梯挑战者;获得一场天梯模式胜利;206701;67;1;400100;2307;1;3;;;0;2306
2307;天梯挑战者;进行十场天梯模式;206701;67;10;400100;2308;0;3;;;0;2306
2308;天梯挑战者;进行五十场天梯模式;206701;67;50;400250;2309;0;3;;;0;2306
2309;天梯挑战者;进行一百场天梯模式;206701;67;100;400500;;0;3;;;0;2306
2310;天梯挑战1;天梯模式达到1100;211401;114;1;400100;2311;0;3;;;1;
2311;天梯挑战2;天梯模式达到1200;211401;114;2;400200;2312;0;3;;;1;2310
2312;天梯挑战3;天梯模式达到1300;211401;114;3;400300;2313;0;3;;;1;2310
2313;天梯挑战4;天梯模式达到1400;211401;114;4;400400;2314;0;3;;;1;2310
2314;天梯挑战5;天梯模式达到1500;211401;114;5;400500;2315;0;3;;;1;2310
2315;天梯挑战6;天梯模式达到1600;211401;114;6;400600;2316;0;3;;;1;2310
2316;天梯挑战7;天梯模式达到1700;211401;114;7;400700;2317;0;3;;;1;2310
2317;天梯挑战8;天梯模式达到1800;211401;114;8;400800;2318;0;3;;;1;2310
2318;天梯挑战9;天梯模式达到1900;211401;114;9;400900;2319;0;3;;;1;2310
2319;天梯挑战10;天梯模式达到2000;211401;114;10;401000;;0;3;;;1;2310
2401;你OO是老子的master吗?;进行一次召唤;205401;54;1;400050;2402;1;3;;;0;2401
2402;你OO是老子的master吗?第二季;进行十次召唤;205401;54;10;400100;2403;0;3;;;0;2401
2403;你OO是老子的master吗?第三季;进行五十次召唤;205401;54;50;400100;2404;0;3;;;0;2401
2404;你OO是老子的master吗?第四季;进行一百次召唤;205401;54;100;400250;2405;0;3;;;0;2401
2405;你OO是老子的master吗?第五季;进行二百三十三次召唤;205401;54;233;400500;;0;3;;;0;2401
2501;信仰 高天原;天照等级达到2;210201;201;2;400050;2502;1;3;;;0;2501
